Book-Title,avg_rating,Book-Author,Year-Of-Publication,Image-URL-S
Harry Potter and the Prisoner of Azkaban (Book 3),5.852803738317757,J. K. Rowling,1999,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),5.8242894056847545,J. K. Rowling,2000,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),5.737410071942446,J. K. Rowling,1998,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),5.501440922190202,J. K. Rowling,2003,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),5.183453237410072,J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,5.00711743772242,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",4.948369565217392,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),4.895652173913043,J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",4.880769230769231,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg
To Kill a Mockingbird,4.7,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg
The Da Vinci Code,4.642538975501114,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg
The Five People You Meet in Heaven,4.551162790697674,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg
The Catcher in the Rye,4.5456570155902005,J.D. Salinger,1991,http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg
The Lovely Bones: A Novel,4.468725868725869,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg
1984,4.454225352112676,George Orwell,1990,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg
Prodigal Summer: A Novel,4.450592885375494,Barbara Kingsolver,2001,http://images.amazon.com/images/P/0060959037.01.THUMBZZZ.jpg
Neverwhere,4.449056603773585,Neil Gaiman,1998,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg
The Secret Life of Bees,4.447028423772609,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,4.3568904593639575,Michael Moore,2002,http://images.amazon.com/images/P/0060392452.01.THUMBZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",4.354969574036511,MITCH ALBOM,1997,http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg
The Red Tent (Bestselling Backlist),4.334716459197787,Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg
The Hitchhiker's Guide to the Galaxy,4.3283582089552235,Douglas Adams,1982,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,4.28955223880597,Barbara Ehrenreich,2002,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg
Into the Wild,4.273809523809524,Jon Krakauer,1997,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg
Fahrenheit 451,4.264058679706602,Ray Bradbury,1994,http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg
Girl with a Pearl Earring,4.218631178707224,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg
Outlander,4.173144876325089,DIANA GABALDON,1996,http://images.amazon.com/images/P/0440222915.01.THUMBZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),4.105982905982906,Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg
Seabiscuit: An American Legend,4.098181818181819,LAURA HILLENBRAND,2002,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg
Life of Pi,4.088855421686747,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg
The Bean Trees,4.087403598971722,Barbara Kingsolver,1989,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",4.086792452830188,Dave Pelzer,1995,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg
ANGELA'S ASHES,4.075268817204301,Frank McCourt,1996,http://images.amazon.com/images/P/0684874350.01.THUMBZZZ.jpg
Good in Bed,4.055102040816327,Jennifer Weiner,2002,http://images.amazon.com/images/P/0743418174.01.THUMBZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,4.037383177570093,Eric Schlosser,2002,http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg
American Gods,4.006622516556291,Neil Gaiman,2002,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg
Skipping Christmas,4.0062111801242235,JOHN GRISHAM,2001,http://images.amazon.com/images/P/0385505833.01.THUMBZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),4.00314465408805,Tim Lahaye,1996,http://images.amazon.com/images/P/0842329129.01.THUMBZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",4.0,PHILIP PULLMAN,2002,http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg
The Color Purple,3.964968152866242,Alice Walker,1985,http://images.amazon.com/images/P/0671617028.01.THUMBZZZ.jpg
Silence of the Lambs,3.9609375,Thomas Harris,1991,http://images.amazon.com/images/P/0312924585.01.THUMBZZZ.jpg
About a Boy,3.900763358778626,Nick Hornby,1999,http://images.amazon.com/images/P/1573227331.01.THUMBZZZ.jpg
Seven Up (A Stephanie Plum Novel),3.8884892086330933,Janet Evanovich,2001,http://images.amazon.com/images/P/0312265840.01.THUMBZZZ.jpg
The Alchemist: A Fable About Following Your Dream,3.8759398496240602,Paulo Coelho,1993,http://images.amazon.com/images/P/0062502174.01.THUMBZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),3.825278810408922,Janet Evanovich,2003,http://images.amazon.com/images/P/0312983867.01.THUMBZZZ.jpg
Suzanne's Diary for Nicholas,3.8205689277899344,James Patterson,2001,http://images.amazon.com/images/P/0316969443.01.THUMBZZZ.jpg
Lord of the Flies,3.8185328185328187,William Gerald Golding,1959,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg
A Prayer for Owen Meany,3.7966101694915255,John Irving,1990,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",3.777408637873754,ANNE RICE,1986,http://images.amazon.com/images/P/0345313860.01.THUMBZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),3.7724719101123596,Janet Fitch,2000,http://images.amazon.com/images/P/0316284955.01.THUMBZZZ.jpg
Wicked: The Life and Times of the Wicked Witch of the West,3.766871165644172,Gregory Maguire,1996,http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg
Me Talk Pretty One Day,3.7527352297593,David Sedaris,2001,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg
Timeline,3.75,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg
Misery,3.718213058419244,Stephen King,1988,http://images.amazon.com/images/P/0451153553.01.THUMBZZZ.jpg
Angels &amp; Demons,3.708955223880597,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg
Bel Canto: A Novel,3.702857142857143,Ann Patchett,2002,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg
Watership Down,3.698717948717949,Richard George Adams,1975,http://images.amazon.com/images/P/038039586X.01.THUMBZZZ.jpg
The Green Mile,3.6818181818181817,Stephen King,1999,http://images.amazon.com/images/P/0671032658.01.THUMBZZZ.jpg
Balzac and the Little Chinese Seamstress : A Novel,3.676056338028169,DAI SIJIE,2002,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg
One for the Money (Stephanie Plum Novels (Paperback)),3.656357388316151,Janet Evanovich,1995,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg
Confessions of a Shopaholic (Summer Display Opportunity),3.6342857142857143,SOPHIE KINSELLA,2001,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg
Empire Falls,3.6301020408163267,Richard Russo,2002,http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg
Lucky : A Memoir,3.6212624584717608,Alice Sebold,2002,http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg
The Poisonwood Bible: A Novel,3.6093117408906883,Barbara Kingsolver,1999,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg
Red Dragon,3.6069651741293534,Thomas Harris,2000,http://images.amazon.com/images/P/0440206154.01.THUMBZZZ.jpg
The Pilot's Wife : A Novel,3.5933098591549295,Anita Shreve,1999,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg
Insomnia,3.576923076923077,Stephen King,1994,http://images.amazon.com/images/P/0670855030.01.THUMBZZZ.jpg
Digital Fortress : A Thriller,3.57679180887372,Dan Brown,2003,http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg
1st to Die: A Novel,3.5756385068762278,James Patterson,2002,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg
She's Come Undone (Oprah's Book Club),3.5705128205128207,Wally Lamb,1998,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg
The Notebook,3.56,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446605239.01.THUMBZZZ.jpg
Interview with the Vampire,3.5511811023622046,Anne Rice,1993,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg
The Nanny Diaries: A Novel,3.5301932367149758,Emma McLaughlin,2002,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg
Bridget Jones's Diary,3.5276073619631902,Helen Fielding,1997,http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg
White Oleander : A Novel,3.5064599483204133,Janet Fitch,2001,http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg
The Poisonwood Bible,3.50187265917603,Barbara Kingsolver,1999,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),3.495515695067265,Wally Lamb,1996,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg
Two for the Dough,3.4644194756554305,Janet Evanovich,1996,http://images.amazon.com/images/P/0671001795.01.THUMBZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood: A Novel,3.437837837837838,Rebecca Wells,1997,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg
Fried Green Tomatoes at the Whistle Stop Cafe,3.4345047923322682,Fannie Flagg,1989,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg
The Summons,3.43206106870229,John Grisham,2002,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,3.4308510638297873,Rebecca Wells,2002,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg
Jurassic Park,3.42827868852459,Michael Crichton,1999,http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg
A Heartbreaking Work of Staggering Genius,3.423841059602649,Dave Eggers,2001,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg
"Girl, Interrupted",3.4198473282442747,SUSANNA KAYSEN,1994,http://images.amazon.com/images/P/0679746048.01.THUMBZZZ.jpg
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),3.417633410672854,Alexander McCall Smith,2003,http://images.amazon.com/images/P/1400034779.01.THUMBZZZ.jpg
Chocolat,3.4127906976744184,Joanne Harris,2000,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg
A Walk to Remember,3.3994708994708995,Nicholas Sparks,2000,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg
The Handmaid's Tale,3.3987138263665595,Margaret Atwood,1989,http://images.amazon.com/images/P/0449212602.01.THUMBZZZ.jpg
The Bonesetter's Daughter,3.390625,Amy Tan,2001,http://images.amazon.com/images/P/0399146431.01.THUMBZZZ.jpg
One Door Away from Heaven,3.389261744966443,Dean R. Koontz,2002,http://images.amazon.com/images/P/0553582755.01.THUMBZZZ.jpg
Fall On Your Knees (Oprah #45),3.387323943661972,Ann-Marie MacDonald,2002,http://images.amazon.com/images/P/0743237188.01.THUMBZZZ.jpg
A Bend in the Road,3.3641618497109826,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446527785.01.THUMBZZZ.jpg
Summer Sisters,3.3612565445026177,Judy Blume,1998,http://images.amazon.com/images/P/0385324057.01.THUMBZZZ.jpg
Cold Mountain : A Novel,3.35048231511254,CHARLES FRAZIER,1998,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg
The Beach House,3.3471264367816094,James Patterson,2003,http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg
The Hours: A Novel,3.3469387755102042,Michael Cunningham,2002,http://images.amazon.com/images/P/0312305060.01.THUMBZZZ.jpg
Icy Sparks,3.3462783171521036,Gwyn Hyman Rubio,2001,http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg
Angela's Ashes (MMP) : A Memoir,3.3374233128834354,Frank McCourt,1999,http://images.amazon.com/images/P/0684872153.01.THUMBZZZ.jpg
How to Be Good,3.3059210526315788,Nick Hornby,2002,http://images.amazon.com/images/P/1573229326.01.THUMBZZZ.jpg
Into Thin Air : A Personal Account of the Mt. Everest Disaster,3.303763440860215,JON KRAKAUER,1999,http://images.amazon.com/images/P/0385494785.01.THUMBZZZ.jpg
The Partner,3.290794979079498,John Grisham,1997,http://images.amazon.com/images/P/0385472951.01.THUMBZZZ.jpg
The God of Small Things,3.28719723183391,Arundhati Roy,1998,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg
The Witching Hour (Lives of the Mayfair Witches),3.281021897810219,ANNE RICE,1993,http://images.amazon.com/images/P/0345384466.01.THUMBZZZ.jpg
Dance upon the Air (Three Sisters Island Trilogy),3.2713178294573644,Nora Roberts,2003,http://images.amazon.com/images/P/0515131229.01.THUMBZZZ.jpg
2nd Chance,3.269662921348315,James Patterson,2002,http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg
Little Altars Everywhere: A Novel,3.2557603686635943,Rebecca Wells,1996,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg
SHIPPING NEWS,3.2539267015706805,Annie Proulx,1994,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg
Snow Falling on Cedars,3.2522658610271904,David Guterson,1994,http://images.amazon.com/images/P/0151001006.01.THUMBZZZ.jpg
The Rescue,3.2435064935064934,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg
A Painted House,3.231503579952267,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg
Unnatural Exposure,3.2209302325581395,Cornwell Patricia,0,http://images.amazon.com/images/P/0316639842.01.THUMBZZZ.jpg
Dreamcatcher,3.212058212058212,Stephen King,2001,http://images.amazon.com/images/P/0743211383.01.THUMBZZZ.jpg
Dolores Claiborne,3.1854545454545455,Stephen King,2004,http://images.amazon.com/images/P/0451177096.01.THUMBZZZ.jpg
Point of Origin,3.1805054151624548,Patricia Daniels Cornwell,1999,http://images.amazon.com/images/P/0425169863.01.THUMBZZZ.jpg
The Testament,3.179902755267423,John Grisham,1999,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg
I Know This Much Is True,3.1739130434782608,Wally Lamb,1999,http://images.amazon.com/images/P/0060987561.01.THUMBZZZ.jpg
Midnight in the Garden of Good and Evil: A Savannah Story,3.147169811320755,John Berendt,1994,http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg
The Girls' Guide to Hunting and Fishing,3.1396160558464223,Melissa Bank,2000,http://images.amazon.com/images/P/0140293248.01.THUMBZZZ.jpg
Cradle and All,3.1358490566037736,James Patterson,2000,http://images.amazon.com/images/P/0316690619.01.THUMBZZZ.jpg
A Time to Kill,3.122040072859745,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg
The Last Time They Met : A Novel,3.121794871794872,Anita Shreve,2002,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg
Along Came a Spider (Alex Cross Novels),3.1217105263157894,James Patterson,1993,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg
Midwives: A Novel,3.113157894736842,Chris Bohjalian,1998,http://images.amazon.com/images/P/0375706771.01.THUMBZZZ.jpg
The Bridges of Madison County,3.0880361173814896,Robert James Waller,1992,http://images.amazon.com/images/P/044651652X.01.THUMBZZZ.jpg
The Client,3.0848861283643894,John Grisham,1993,http://images.amazon.com/images/P/038542471X.01.THUMBZZZ.jpg
The Firm,3.0808435852372584,John Grisham,1991,http://images.amazon.com/images/P/0385416342.01.THUMBZZZ.jpg
The Smoke Jumper,3.0572519083969465,Nicholas Evans,2001,http://images.amazon.com/images/P/0385334036.01.THUMBZZZ.jpg
The Joy Luck Club,3.0558558558558557,Amy Tan,1994,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg
Full House (Janet Evanovich's Full Series),3.0428015564202333,Janet Evanovich,2002,http://images.amazon.com/images/P/0312983271.01.THUMBZZZ.jpg
Pop Goes the Weasel,3.04029304029304,James Patterson,1999,http://images.amazon.com/images/P/0316693286.01.THUMBZZZ.jpg
The King of Torts,3.039301310043668,John Grisham,2003,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg
Tara Road,3.036184210526316,Maeve Binchy,2000,http://images.amazon.com/images/P/0440235596.01.THUMBZZZ.jpg
House of Sand and Fog,3.0306122448979593,Andre Dubus III,2000,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg
The Chamber,3.0157170923379173,John Grisham,1994,http://images.amazon.com/images/P/0385424728.01.THUMBZZZ.jpg
The Reader,3.0128755364806867,Bernhard Schlink,1997,http://images.amazon.com/images/P/0679442790.01.THUMBZZZ.jpg
The Blind Assassin,3.007843137254902,Margaret Atwood,2000,http://images.amazon.com/images/P/0385475721.01.THUMBZZZ.jpg
STONES FROM THE RIVER,3.0027472527472527,Ursula Hegi,1997,http://images.amazon.com/images/P/0684844729.01.THUMBZZZ.jpg
The Kitchen God's Wife,2.9967845659163985,Amy Tan,1991,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg
"\O\"" Is for Outlaw""",2.9888475836431225,SUE GRAFTON,2001,http://images.amazon.com/images/P/0449003787.01.THUMBZZZ.jpg
The Hot Zone,2.973076923076923,Richard Preston,1995,http://images.amazon.com/images/P/0385479565.01.THUMBZZZ.jpg
The Cider House Rules,2.969465648854962,John Irving,1986,http://images.amazon.com/images/P/0553258001.01.THUMBZZZ.jpg
The Alienist,2.9657142857142857,Caleb Carr,1995,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg
Violets Are Blue,2.955145118733509,James Patterson,2002,http://images.amazon.com/images/P/0446611212.01.THUMBZZZ.jpg
Deception Point,2.931297709923664,Dan Brown,2002,http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg
The Rainmaker,2.9221556886227544,JOHN GRISHAM,1996,http://images.amazon.com/images/P/044022165X.01.THUMBZZZ.jpg
Mystic River,2.911602209944751,Dennis Lehane,2002,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg
Airframe,2.9006024096385543,Michael Crichton,1997,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg
The Runaway Jury,2.8807692307692307,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.THUMBZZZ.jpg
All I Really Need to Know,2.87984496124031,ROBERT FULGHUM,1989,http://images.amazon.com/images/P/080410526X.01.THUMBZZZ.jpg
The Last Precinct,2.8753709198813056,Patricia Cornwell,2001,http://images.amazon.com/images/P/0425180638.01.THUMBZZZ.jpg
We Were the Mulvaneys,2.8684210526315788,Joyce Carol Oates,1996,http://images.amazon.com/images/P/0452282829.01.THUMBZZZ.jpg
The Lost World,2.85546875,Michael Crichton,1996,http://images.amazon.com/images/P/034540288X.01.THUMBZZZ.jpg
The Street Lawyer,2.851376146788991,JOHN GRISHAM,1999,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg
The Brethren,2.8507194244604315,JOHN GRISHAM,2000,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg
The Hundred Secret Senses,2.830357142857143,Amy Tan,1995,http://images.amazon.com/images/P/0399141146.01.THUMBZZZ.jpg
Kiss the Girls,2.828125,James Patterson,1995,http://images.amazon.com/images/P/0446601241.01.THUMBZZZ.jpg
Black and Blue,2.79467680608365,ANNA QUINDLEN,1999,http://images.amazon.com/images/P/0440226104.01.THUMBZZZ.jpg
A Widow for One Year,2.7838827838827838,JOHN IRVING,1999,http://images.amazon.com/images/P/0345424719.01.THUMBZZZ.jpg
Black Notice,2.783333333333333,Patricia Daniels Cornwell,1999,http://images.amazon.com/images/P/0399145087.01.THUMBZZZ.jpg
Message in a Bottle,2.778225806451613,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446523569.01.THUMBZZZ.jpg
Flesh and Blood,2.7755905511811023,Jonathan Kellerman,2001,http://images.amazon.com/images/P/0679459626.01.THUMBZZZ.jpg
Hannibal,2.7606837606837606,Thomas Harris,2000,http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg
Sphere,2.7433155080213902,MICHAEL CRICHTON,1988,http://images.amazon.com/images/P/0345353145.01.THUMBZZZ.jpg
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),2.7333333333333334,SUE GRAFTON,1987,http://images.amazon.com/images/P/0553279912.01.THUMBZZZ.jpg
When the Wind Blows,2.7222222222222223,James Patterson,1998,http://images.amazon.com/images/P/0316693324.01.THUMBZZZ.jpg
The Queen of the Damned (Vampire Chronicles (Paperback)),2.708029197080292,Anne Rice,1993,http://images.amazon.com/images/P/0345351525.01.THUMBZZZ.jpg
The Horse Whisperer,2.6863905325443787,Nicholas Evans,1996,http://images.amazon.com/images/P/0440222656.01.THUMBZZZ.jpg
Back Roads,2.681159420289855,Tawni O'Dell,2001,http://images.amazon.com/images/P/0451202341.01.THUMBZZZ.jpg
The Book of Ruth (Oprah's Book Club (Paperback)),2.6677115987460813,Jane Hamilton,1990,http://images.amazon.com/images/P/0385265700.01.THUMBZZZ.jpg
Scarlet Feather,2.6328125,Maeve Binchy,2001,http://images.amazon.com/images/P/0525945938.01.THUMBZZZ.jpg
Lightning,2.627737226277372,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425115801.01.THUMBZZZ.jpg
Cause of Death,2.6202090592334493,Patricia Daniels Cornwell,1997,http://images.amazon.com/images/P/0425158616.01.THUMBZZZ.jpg
The Pelican Brief,2.6110154905335627,John Grisham,1993,http://images.amazon.com/images/P/0440214041.01.THUMBZZZ.jpg
While I Was Gone,2.5800464037122968,Sue Miller,1999,http://images.amazon.com/images/P/0345443284.01.THUMBZZZ.jpg
The Perfect Storm : A True Story of Men Against the Sea,2.5396039603960396,Sebastian Junger,1999,http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg
A Map of the World,2.492354740061162,Jane Hamilton,1999,http://images.amazon.com/images/P/0385500769.01.THUMBZZZ.jpg
Rising Sun,2.4424460431654675,MICHAEL CRICHTON,1992,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg
Congo,2.431438127090301,Michael Crichton,1995,http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg
The Prince of Tides,2.3539518900343643,Pat Conroy,1987,http://images.amazon.com/images/P/0553268880.01.THUMBZZZ.jpg
Disclosure,2.3459119496855347,Michael Crichton,1994,http://images.amazon.com/images/P/0345391055.01.THUMBZZZ.jpg
Vinegar Hill (Oprah's Book Club (Paperback)),2.2452830188679247,A. Manette Ansay,1998,http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg
Whispers,2.199300699300699,BELVA PLAIN,1994,http://images.amazon.com/images/P/0440216745.01.THUMBZZZ.jpg
Presumed Innocent,2.139455782312925,Scott Turow,1989,http://images.amazon.com/images/P/0446359866.01.THUMBZZZ.jpg
Isle of Dogs,2.0,Patricia Cornwell,2002,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg
Wild Animus,1.0195843325339728,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg
